结果id,生成时间,任务数据,题目顺序,题目信息,答案,质检状态,质检结果
4776276294,4/2/18 15:57,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i4/6000000005531/TB2zy7nimBYBeNjy0FeXXbnmFXa_!!6000000005531-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776276811,4/2/18 15:58,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i3/6000000005566/TB2qdGDibGYBuNjy0FoXXciBFXa_!!6000000005566-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776276837,4/2/18 15:58,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i2/6000000001007/TB2wgOZif9TBuNjy1zbXXXpepXa_!!6000000001007-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776276927,4/2/18 15:58,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i1/6000000003238/TB2UA3qimtYBeNjSspkXXbU8VXa_!!6000000003238-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776277053,4/2/18 15:59,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i1/6000000005447/TB2w4KzigaTBuNjSszfXXXgfpXa_!!6000000005447-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776277276,4/2/18 15:59,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i3/6000000001339/TB2lPKDibGYBuNjy0FoXXciBFXa_!!6000000001339-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776278137,4/2/18 16:00,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i3/6000000003469/TB2MzTiikSWBuNjSszdXXbeSpXa_!!6000000003469-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776279184,4/2/18 16:00,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i2/6000000002674/TB2E8m_ih1YBuNjy1zcXXbNcXXa_!!6000000002674-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776279684,4/2/18 16:00,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i4/6000000008092/TB2xeYbib5YBuNjSspoXXbeNFXa_!!6000000008092-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776280543,4/2/18 16:00,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i4/6000000004279/TB2J8txccUrBKNjSZPxXXX00pXa_!!6000000004279-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776280648,4/2/18 16:00,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i1/6000000003390/TB2SJxLcdcnBKNjSZR0XXcFqFXa_!!6000000003390-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776280750,4/2/18 16:00,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i4/6000000001848/TB2UNPXieySBuNjy1zdXXXPxFXa_!!6000000001848-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776280758,4/2/18 16:00,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i2/2671490203/TB2iNvbib5YBuNjSspoXXbeNFXa_!!2671490203-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776280773,4/2/18 16:00,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i4/6000000003059/TB2n3QPinJYBeNjy1zeXXahzVXa_!!6000000003059-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776280863,4/2/18 16:01,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i3/6000000002095/TB2.muCcljTBKNjSZFNXXasFXXa_!!6000000002095-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776280899,4/2/18 16:01,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i3/6000000005268/TB2i1auiXmWBuNjSspdXXbugXXa_!!6000000005268-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776280917,4/2/18 16:01,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i1/6000000001551/TB2J8wPinJYBeNjy1zeXXahzVXa_!!6000000001551-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776280920,4/2/18 16:01,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i3/6000000000150/TB2xObriamWBuNjy1XaXXXCbXXa_!!6000000000150-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776280980,4/2/18 16:02,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i4/6000000005339/TB2QDfbib5YBuNjSspoXXbeNFXa_!!6000000005339-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281079,4/2/18 16:02,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i1/6000000006955/TB2H8HriamWBuNjy1XaXXXCbXXa_!!6000000006955-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281119,4/2/18 16:02,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i4/6000000002730/TB29sapcfuSBuNkHFqDXXXfhVXa_!!6000000002730-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281129,4/2/18 16:02,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i1/6000000004532/TB2v6PJioR1BeNjy0FmXXb0wVXa_!!6000000004532-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281138,4/2/18 16:02,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i4/6000000001325/TB2sgHmif5TBuNjSspmXXaDRVXa_!!6000000001325-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281157,4/2/18 16:02,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i1/6000000002426/TB2zweribSYBuNjSspiXXXNzpXa_!!6000000002426-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281160,4/2/18 16:02,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i1/6000000004947/TB2GjqEibGYBuNjy0FoXXciBFXa_!!6000000004947-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281174,4/2/18 16:02,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i4/6000000002073/TB2yHeMif9TBuNjy0FcXXbeiFXa_!!6000000002073-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281207,4/2/18 16:03,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i3/6000000000971/TB2cnHgieuSBuNjy1XcXXcYjFXa_!!6000000000971-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281222,4/2/18 16:03,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i1/6000000004341/TB2Su0OcaAoBKNjSZSyXXaHAVXa_!!6000000004341-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281223,4/2/18 16:03,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i2/6000000004423/TB2z8ivieuSBuNjSsplXXbe8pXa_!!6000000004423-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281310,4/2/18 16:03,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i4/6000000005155/TB2sPOIibuWBuNjSszgXXb8jVXa_!!6000000005155-0-cloudwork.jpg""]",质检待确认,质检结果通过
