Name,Platform,Follow,Link,CAT,Status
Mạnh Quân,Facebook,"584,141",https://www.facebook.com/fansmanhquan,Celeb/VIP,Agree
B Trần,Facebook,"838,742",https://www.facebook.com/fanpagebtran/,Celeb/VIP,Agree
Lynk lee,Facebook,"1,519,273",https://www.facebook.com/Singer.LynkLee,Celeb/VIP,Agree
Trung quân idol,Facebook,"333,333",https://www.facebook.com/quancartoon,Celeb/VIP,Agree
Giang Popper ,Facebook,"260,046",https://www.facebook.com/giang.popper.3,Specialist/Professional Influencer,Agree
Vương Anh Ole,Facebook,"366,636",https://www.facebook.com/rapperole,Celeb/VIP,Agree
Trọng Hưng,Facebook,"133,692",https://www.facebook.com/profile.php?id=100001098954987,Specialist/Professional Influencer,Agree
Ngụy Thùy Linh st319,Facebook,"117,086",https://www.facebook.com/liz.li.370,Micro Influencer,Agree
Nguyễn Hoàng Kiều Trinh,Facebook,"461,644",https://www.facebook.com/kieutrinhxiu,Celeb/VIP,Agree
Trang Thiên,Facebook,"59,654",https://www.facebook.com/trang.thien.142?fref=ts,Micro Influencer,Agree
Nguyễn Minh Trang,Facebook,"89,977",https://www.facebook.com/profile.php?id=100008233800394,Micro Influencer,Agree
Tú Quyên,Facebook,"68,141",https://www.facebook.com/quyen.babie,Micro Influencer,Agree
Linh kiu,Facebook,"62,990",https://www.facebook.com/LinhKiu95,Micro Influencer,Agree
Ngô Thủy Tiên,Facebook,"89,970",https://www.facebook.com/tienbeo07,Micro Influencer,Agree
Ngô Lệ Quyên,Facebook,"92,224",https://www.facebook.com/Quyenzenda,Micro Influencer,Agree
Trương Hoàng Mai Anh,Facebook,"370,000",https://www.instagram.com/truonghoang.maianh/,Micro Influencer,Agree
Thảo Vân,Facebook,"125,209",https://www.facebook.com/con.tho.35,Micro Influencer,Agree
Huy me,Facebook,"1,369,272",https://www.facebook.com/HuyMeProductions/?fref=ts,Celeb/VIP,Agree
Trần Khởi My,Facebook,"10,397,392",https://www.facebook.com/fc.khoimy/,Celeb/VIP,Agree
Quỳnh Anh Shyn,Facebook,"1,048,764",https://www.facebook.com/qashyn212/,Celeb/VIP,Agree
Noo Phước Thịnh,Facebook,"3,430,875",https://www.facebook.com/phuocthinh.noo,Celeb/VIP,Agree
Khổng Tú Quỳnh,Facebook,"3,479,741",https://www.facebook.com/khongtuquynh/,Celeb/VIP,Agree
Hariwon,Facebook,"6,200,000",https://www.facebook.com/hariwonstar/,Celeb/VIP,Agree
Ngô Kiến Huy,Facebook,"2,587,535",https://www.facebook.com/casingokienhuy/,Celeb/VIP,Agree
Kelvin Khánh,Facebook,"6,092,322",https://www.facebook.com/kelvinsinger/,Celeb/VIP,Agree
Lý Hải Minh Hà,Facebook,"5,880,064",https://www.facebook.com/lyhai.minhha/,Celeb/VIP,Agree
Nhật Kim Anh,Facebook,"5,292,677",https://www.facebook.com/nhatkimanh85/,Celeb/VIP,Agree
An Nguy,Facebook,"3,157,047",https://www.facebook.com/an.nguy.31/,Celeb/VIP,Agree
Justa Tee,Facebook,"1,200,000",https://www.facebook.com/justatee/,Celeb/VIP,Agree
Lê Công Vinh,Facebook,"1,360,877",https://www.facebook.com/Le-Cong-Vinh-363628100451502/,Celeb/VIP,Agree
Đông Nhi,Facebook,"8,186,425",https://www.facebook.com/dongnhi,Celeb/VIP,Agree
Ông Cao Thắng,Facebook,"682,272",https://www.facebook.com/ongcaothang1301,Celeb/VIP,Agree
MC Trấn Thành,Facebook,"11,019,338",https://www.facebook.com/tran.thanh.ne,Celeb/VIP,Agree
Hồ Quang Hiếu ,Facebook,"8,392,361",https://www.facebook.com/hieuboyofficial/,Celeb/VIP,Agree
Lê Phương Ngọc Thảo,Facebook,"2,876,934",https://www.facebook.com/ngocthaovn/?fref=ts,Celeb/VIP,Agree
Chi Pu,Facebook,"8,026,902",https://www.facebook.com/chipupu93,Celeb/VIP,Agree
Lil Shady,Facebook,"80,063",https://www.facebook.com/sadilee,Micro Influencer,Agree
An Japan,Facebook,"374,839",https://www.facebook.com/anxu96,Micro Influencer,Agree
Khắc Việt Singer,Facebook,"3,653,529",https://www.facebook.com/khacvietsinger,Celeb/VIP,Agree
Đỗ Hoàng Dương,Facebook,"399,883",https://www.facebook.com/dohoangduong.hoangduong,Celeb/VIP,Agree
Harry Lu,Facebook,"1,248,170",https://www.facebook.com/harryluVII,Celeb/VIP,Agree
Vanh Leg,Facebook,"1,071,289",https://www.facebook.com/vanhleg221,Celeb/VIP,Agree
Tiên Cookie,Facebook,"194,231",https://www.facebook.com/1989sTienCookie/,Specialist/Professional Influencer,Agree
Jvevermind,Facebook,"2,476,790",https://www.facebook.com/JVevermind.FP,Celeb/VIP,Agree
Phở đặc biệt,Facebook,"1,967,885",https://www.facebook.com/tobuuphat,Celeb/VIP,Agree
Gil Lê,Facebook,"768,421",https://www.facebook.com/gilleofficial,Celeb/VIP,Agree
Ba Duy,Facebook,"317,310",https://www.facebook.com/tranbaduy,Micro Influencer,Agree
ISAAC,Facebook,"545,216",https://www.facebook.com/Isaac.fann,Celeb/VIP,Agree
Trang Moon DJ,Facebook,"1,300,000",https://www.facebook.com/trangmoondjofficial/,Celeb/VIP,Agree
Lê Phương ,Facebook,"769,986",https://www.facebook.com/lephuongdienvien,Celeb/VIP,Agree
Bảo Thy,Facebook,"5,512,672",https://www.facebook.com/baothyfanpage,Celeb/VIP,Agree
Đặng Phạm Phương Chi,Facebook,"192,738",https://www.facebook.com/chichi.juny,Micro Influencer,Agree
Phi Huyền Trang,Facebook,"644,141",https://www.facebook.com/phi.huyentrang,Micro Influencer,Agree
Thủy Tiên,Facebook,"5,454,842",https://www.facebook.com/FcThuyTien/,Celeb/VIP,Agree
Trần Khởi My,Facebook,"10,042,602",https://www.facebook.com/fc.khoimy,Celeb/VIP,Agree
Hoàng Thùy Linh,Facebook,"2,904,312",https://www.facebook.com/hoangthuylinh.singer/,Celeb/VIP,Agree
Trịnh Thăng Bình,Facebook,"200,246",https://www.facebook.com/thangbinh,Celeb/VIP,Agree
Nguyễn Diệp Chi,Facebook,152.533,https://www.facebook.com/diepchivtv3,Celeb/VIP,Agree
Nguyễn Minh Trang (Trang Moon),Facebook,131.384,https://www.facebook.com/trangmnguyen132?fref=ts,Celeb/VIP,Agree
Nguyễn Thanh Vân (Vân Hugo),Facebook,131000,https://www.facebook.com/cloudy.nguyen.35?fref=ts,Celeb/VIP,Agree
Quỳnh Hương,Facebook,27.665,https://www.facebook.com/huongquynhtun,Celeb/VIP,Agree
Uyên Bùi,Facebook,17.446,https://www.facebook.com/yigiaochu,Celeb/VIP,Agree
Hồng Đăng,Facebook,367.328,https://www.facebook.com/LeHongDang?fref=ts,Celeb/VIP,Agree
Mạnh Trường,Facebook,278.445,https://www.facebook.com/tonynguyen.truongnguyen?fref=ts,Celeb/VIP,Agree
Soobin Hoàng Sơn,Facebook,665.884,https://www.facebook.com/hoangson.soobin92,Celeb/VIP,Agree
Ninh Dương Lan Ngọc,Facebook,496.411,https://www.facebook.com/fromninhduonglanngoc/,Celeb/VIP,Agree
Quỳnh Anh Shyn,Facebook,691.781,https://www.facebook.com/qashyn212/,Celeb/VIP,Agree
Ngọc Thảo,Facebook,"2,931,178",https://www.facebook.com/ngocthaovn/?fref=ts,Celeb/VIP,Agree
Ngoc Han Dang,Facebook,144.094,https://www.facebook.com/ngochandang1103,Celeb/VIP,Agree
Đỗ Duy Nam,Facebook,199.299,https://www.facebook.com/namdd2?fref=ts,Celeb/VIP,Agree
Trần Quang Minh,Facebook,312633,https://www.facebook.com/vtv.periodista,Specialist/Professional Influencer,Agree
Công Tố,Facebook,145.427,https://www.facebook.com/pham.congto?fref=ts,Celeb/VIP,Agree
Nguyễn Tú Linh,Facebook,247.859,https://www.facebook.com/tulinhng?fref=ts,Micro Influencer,Agree
Phan Thu Hoàng,Facebook,21746,https://www.facebook.com/thu.thanthien.77?fref=ts,Micro Influencer,Agree
Lã Thanh Huyền,Facebook,178900,https://www.facebook.com/thanhhuyen.la.7?fref=ts,Celeb/VIP,Agree
Trương Phương,Facebook,108657,https://www.facebook.com/lanphuong.truong.5?ref=ts&fref=ts&qsefr=1,Celeb/VIP,Agree
Á hậu Huyền My,Facebook,1033166,https://www.facebook.com/AHauHuyenMy.Official/,Celeb/VIP,Agree
Phạm Chí Trung,Facebook,265544,https://www.facebook.com/trung.phamchi.98?fref=ts,Celeb/VIP,Agree
