Data Source,Platform,Name, Follow ,Link,CAT,Other Skill,Remark,,,,,
Data from Vendor,Facebook,/Kellymommy,806099,https://www.facebook.com/Kellymommy/,Lifestyle,,,,,,Kellymommy,
Data from Vendor,Facebook,allmyloveamanda,32531,https://www.facebook.com/allmyloveamanda/,Travel,,,,,,allmyloveamanda,
Data from Vendor,Facebook,avaw428,13591,https://www.facebook.com/avaw428,Lifestyle,,,,,,avaw428,
Data from Vendor,Facebook,crystalfungyingying,49589,https://www.facebook.com/crystalfungyingying/,Beauty & Fashion,,,,,,crystalfungyingying,
Data from Vendor,Facebook,cyncynbunny,123492,https://www.facebook.com/cyncynbunny/,Beauty & fashion,,,,,,cyncynbunny,
Raw Data(APR),Facebook,Dustykid,102315,https://www.facebook.com/DustykidHK/,Lifestyle,,,,,,DustykidHK,
Data from Vendor,Facebook,eeggillian,5450,https://www.facebook.com/eeggillian/,Celebrity,,,,,,eeggillian,
Data from Vendor,Facebook,eegtwins,337185,https://www.facebook.com/eegtwins/,Celebrity,,,,,,eegtwins,
Raw Data(APR),Facebook,Hello Catie,311247,https://www.facebook.com/hellocatie45/,Beauty & fashion,Lifestyle,,,,,hellocatie45,
Data from Vendor,Facebook,hillarylaupuihang,10838,https://www.facebook.com/hillarylaupuihang/,Lifestyle,,,,,,hillarylaupuihang,
Data from Vendor,Facebook,HOCCHOCC,453612,https://www.facebook.com/HOCCHOCC/,Celebrity,,,,,,HOCCHOCC,
Data from Vendor,Facebook,jackylaiyc,28224,https://www.facebook.com/jackylaiyc/,Travel,,,,,,jackylaiyc,
Raw Data(APR),Facebook,Jessica 宣萱,14937,https://www.facebook.com/Jessica-%E5%AE%A3%E8%90%B1-993144804105690/?tn-str=k*F,celebrity,,,,,,Jessica-%E5%AE%A3%E8%90%B1-993144804105690,
Data from Vendor,Facebook,jmworkshophk,55518,https://www.facebook.com/jmworkshophk/,Celebrity,,,,,,jmworkshophk,
Raw Data(APR),Facebook,Kaye Cal,504116,https://www.facebook.com/KayeCal.OfficialPage/,celebrity,,,,,,KayeCal.OfficialPage,
Raw Data(APR),Facebook,Kimman Wong 黃劍文 音樂說故事,14508,https://www.facebook.com/kimmanmusic/?ref=page_internal,Lifestyle,,,,,,kimmanmusic,
Data from Vendor,Facebook,madcouple,17931,https://www.facebook.com/madcouple/,Beauty & Fashion,,,,,,madcouple,
Data from Vendor,Facebook,msqueeniechan,59879,https://www.facebook.com/msqueeniechan/,Lifestyle,,,,,,msqueeniechan,
Data from Vendor,Facebook,myoliewuofficial,229460,https://www.facebook.com/myoliewuofficial/,Celebrity,,,,,,myoliewuofficial,
Raw Data(APR),Facebook,OL 妹搵著數,15911,https://www.facebook.com/OLjetso/?__tn__=kC-R&eid=ARDrGWGq7OeQgt8wJ96Nv-ZMhFeb94xu4mJd9HCmA0dnqMXSPYEFTL5CvrUrKKbEyAAPpwSWOm2cTXG2&hc_ref=ARRlfUXSpgw_pLlTL8cXI3-ZwbEFRj7L1a7QRhF2kx2KiH-Vm-y20tOnjJhYqC8MjQM&fref=nf&__xts__[0]=68.ARDgjeMMfSAV2uifJbLnMsbw5MK53d1NOX_lpKtIJO_Vu58tshapreJjurMz2OotSfitH8rBQETxdPEjZJCdKD6T2xMeXjOvkLmlG0T-L_OZOJaMjjQmA5pA8YduwOnag3O-YKw9d6qVChET8A5GfAwPvJJjFpNG5EmLBJkLmUbJlDoRdio5Gj2hd2nu9MxlPtd8oV8enXsZ-0Jo76T6Q2q-Y84j8TXmrmfK0txIakdcLmeafbJ5ElHNUJdTVWuhAe5b2HQsjmLW7IrGT3HEiB6aBMJ-U3UJ1VlanVJWOKxtAP6zPlWUz5InaZRs6_UrAQuFo2ILmPSRdm_HC_S_thw,Beauty & fashion,,,,,,OLjetso,
Data from Vendor,Facebook,PumpkinJenn,35005,https://www.facebook.com/PumpkinJenn/,Beauty & Fashion,,Also mentioned by vendor,,,,PumpkinJenn,
Raw Data(APR),Facebook,Riley 霍柔心,12177,https://www.facebook.com/Rileyfokyausum/,Lifestyle,,,,,,Rileyfokyausum,
Data from Vendor,Facebook,Roxannetonggg,61856,https://www.facebook.com/Roxannetonggg/,Celebrity,,,,,,Roxannetonggg,
Raw Data(APR),Facebook,Siti Saidah,302535,https://www.facebook.com/saidahmontok77?__tn__=%2Cd*F*F-R&eid=ARAlLCQv12fM_xUar0v4WuwBtRo64YolH3t4vN7KWU8fowQUxAcLPWidxvfC9VItVt04sdpeweKtTiWF&tn-str=*F,Lifestyle,,,,,,saidahmontok77,
Data from Vendor,Facebook,tinawzq,10513,https://www.facebook.com/tinawzq/,Beauty & Fashion,,,,,,tinawzq,
Data from Vendor,Facebook,tracychu.tvb,32696,https://www.facebook.com/tracychu.tvb/,Celebrity,,,,,,tracychu.tvb,
